hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19 epQTL_20
Sim_14 Chr2A_583563663 0.04689988786701 Chr5B_634564037 Chr3D_571199059 Chr5A_13644774 Chr2D_564987912 Chr4A_341093180 Chr1D_450121910 Chr5D_182385529 Chr3A_715196719 Chr4D_30428033 Chr7D_579772212 Chr4B_597877697 Chr2B_718291753 Chr1B_507721858 Chr1A_546694266 Chr7A_28823637 Chr6D_17117170 Chr6A_464323380 Chr7B_492769565 Chr3B_341232781 Chr6B_403886795
Sim_15 Chr4D_291220890 0.0452358943945891 Chr7A_301690662 Chr5D_541462522 Chr6A_463730297 Chr6D_458486853 Chr3A_613025587 Chr5B_670922749 Chr1D_420282987 Chr1B_140350903 Chr3B_145770122 Chr1A_16706761 Chr4A_616375729 Chr3D_257456482 Chr7B_722767415 Chr4B_284223060 Chr5A_380735513 Chr2A_318245279 Chr6B_171384087 Chr2B_31939213 Chr2D_17779590 Chr7D_149546340
Sim_16 Chr6A_617869738 0.0453148100999887 Chr7B_174706523 Chr3D_43579014 Chr5D_175783435 Chr3B_456965470 Chr6B_654997680 Chr1D_466670986 Chr2B_375274576 Chr4B_1762038 Chr3A_375212749 Chr6D_470075110 Chr5B_657757896 Chr4A_519275773 Chr2D_143326167 Chr7A_33541780 Chr5A_329624746 Chr1B_518922003 Chr4D_198915767 Chr1A_51703056 Chr7D_642634879 Chr2A_313223423
Sim_17 Chr3B_277104044 0.0452462836349185 Chr5B_184493948 Chr3A_611575241 Chr7B_733556715 Chr6B_611912065 Chr2A_381102697 Chr1D_41312228 Chr4B_489834439 Chr2B_744295734 Chr7D_372868130 Chr1A_590007841 Chr5D_37155848 Chr2D_558582523 Chr7A_121816188 Chr3D_511223555 Chr4A_148412332 Chr5A_444717017 Chr6A_429647278 Chr6D_341889830 Chr1B_52788251 Chr4D_71274841
Sim_18 Chr6B_115692467 0.0465988130612955 Chr4A_442419347 Chr5B_695190360 Chr4D_466450793 Chr7A_97062395 Chr3B_404308935 Chr1D_274747242 Chr1A_513615766 Chr5D_346301894 Chr2A_776829746 Chr6A_103924908 Chr7B_740336865 Chr5A_243936522 Chr3D_156240671 Chr4B_489834439 Chr1B_102369142 Chr3A_446102452 Chr6D_217138652 Chr7D_401557758 Chr2B_742829394 Chr2D_286380203
Sim_19 Chr5D_45331644 0.0519118542483517 Chr2A_322220579 Chr1A_467504935 Chr3B_493191443 Chr1B_519785400 Chr3D_186737028 Chr4A_625897560 Chr2B_160082728 Chr3A_611161111 Chr2D_371259498 Chr6B_98397284 Chr7D_490870240 Chr4D_242846239 Chr5A_210949973 Chr1D_170761695 Chr7B_731149711 Chr6A_292952273 Chr5B_477649577 Chr6D_167648382 Chr4B_865698 Chr7A_101727175
Sim_20 Chr5A_148640985 0.0462309527048474 Chr1A_404800139 Chr5B_64085443 Chr3D_296395200 Chr7D_242620113 Chr4A_341338335 Chr4B_667759619 Chr5D_346301894 Chr3B_23473961 Chr1D_435972851 Chr7A_23441623 Chr6B_167451135 Chr7B_714597947 Chr1B_556562317 Chr2D_502350271 Chr2B_563622717 Chr4D_457321714 Chr2A_241065128 Chr3A_730164438 Chr6D_494040701 Chr6A_359433677
Sim_21 Chr3A_730164438 0.0460301949343721 Chr2B_500573955 Chr5D_8197041 Chr6A_481777238 Chr3B_232452679 Chr7B_444721352 Chr6D_86192782 Chr2A_352733503 Chr1A_221553726 Chr1B_573946065 Chr4D_688362 Chr2D_185194876 Chr1D_40222486 Chr4A_694094566 Chr7D_490870240 Chr6B_718879203 Chr5A_536438435 Chr5B_429783458 Chr7A_621624678 Chr3D_23936353 Chr4B_216225418
Sim_22 Chr1B_193190741 0.0502044924644546 Chr4A_719720243 Chr5A_450269486 Chr7A_590031569 Chr1A_336482208 Chr3B_167041354 Chr3D_128613815 Chr4D_505832194 Chr6B_531071470 Chr5B_532822105 Chr1D_420932649 Chr2D_440523665 Chr7D_371214493 Chr3A_309678182 Chr6A_622629640 Chr4B_47784886 Chr5D_194314690 Chr6D_217138652 Chr2B_803474118 Chr2A_22349529 Chr7B_751786028
Sim_23 Chr7D_359452226 0.0470893057540742 Chr4B_381945792 Chr2D_292066049 Chr1A_29541788 Chr7A_349630804 Chr3A_86411805 Chr6D_435821667 Chr5A_556929692 Chr1B_352104853 Chr1D_170761695 Chr5B_670360616 Chr2B_645518729 Chr3D_93670405 Chr5D_366089111 Chr4D_334503563 Chr3B_732167018 Chr6A_95593158 Chr7B_551113639 Chr4A_608776071 Chr6B_714295295 Chr2A_633861543
Sim_24 Chr1B_538073614 0.0549911679492724 Chr1D_313735884 Chr6B_470670938 Chr2D_299788591 Chr5A_1104938 Chr3D_600245358 Chr2B_196180229 Chr5D_325329429 Chr3B_540162042 Chr4A_633304732 Chr2A_280129827 Chr7D_175970699 Chr5B_538613334 Chr3A_546215079 Chr4B_66125104 Chr6D_344076351 Chr7A_203635868 Chr7B_294878580 Chr4D_61425671 Chr1A_484055170 Chr6A_313818358
Sim_25 Chr4A_2035154 0.0510168162033405 Chr4B_428275493 Chr6B_154021623 Chr3D_192741368 Chr5B_233339950 Chr1A_587437482 Chr3B_604399694 Chr7D_285818790 Chr1B_104623479 Chr2B_52777272 Chr6A_52676381 Chr7B_741641854 Chr2A_342732737 Chr7A_160388163 Chr1D_126146893 Chr5A_688706366 Chr3A_241559525 Chr6D_24660033 Chr5D_540617469 Chr4D_315366694 Chr2D_441398011
Sim_26 Chr3B_839748734 0.04576286692697 Chr5A_533903610 Chr7A_715571039 Chr5B_134964111 Chr5D_108956570 Chr4B_176331156 Chr1A_23365308 Chr6A_193323984 Chr3D_128613815 Chr1B_343116886 Chr4A_657712818 Chr2A_97364328 Chr7B_731149711 Chr3A_29071809 Chr7D_624528650 Chr2B_610503090 Chr6B_128714089 Chr1D_383259120 Chr6D_34010229 Chr2D_185194876 Chr4D_289069505
Sim_27 Chr1B_330344876 0.0472161298302366 Chr4A_440956695 Chr2B_803474118 Chr4D_184937359 Chr5A_110861604 Chr2D_234650560 Chr5B_243196426 Chr1D_316017089 Chr4B_391418918 Chr7A_621800344 Chr5D_543406748 Chr6A_511887241 Chr2A_46987834 Chr6B_39946285 Chr3D_86161430 Chr1A_509954121 Chr3B_13736593 Chr7B_26226977 Chr7D_422602383 Chr3A_517700955 Chr6D_494040701
Sim_28 Chr6B_497137370 0.0460070339404186 Chr6A_15460878 Chr1D_467759957 Chr3D_553641672 Chr7A_395820634 Chr1A_479918536 Chr1B_668579710 Chr6D_139683597 Chr2B_81785259 Chr2A_271065537 Chr3A_733671372 Chr5A_486299243 Chr4B_382982059 Chr3B_818766258 Chr2D_364026967 Chr5D_443157918 Chr5B_369108906 Chr4A_636115629 Chr7D_102704129 Chr7B_26766180 Chr4D_198915767
Sim_29 Chr3B_777470913 0.0505524449311455 Chr6D_189771125 Chr4D_256431520 Chr7B_755343764 Chr7A_584563911 Chr2A_273295883 Chr6B_21115300 Chr2B_800293928 Chr5B_44201362 Chr4B_645371272 Chr3D_73452142 Chr1A_590007841 Chr5D_55063447 Chr7D_611231823 Chr3A_10333235 Chr6A_372876878 Chr4A_543384657 Chr2D_185194876 Chr5A_455499011 Chr1D_181392811 Chr1B_57851798
Sim_30 Chr4B_178759578 0.052975676303955 Chr3B_313000396 Chr7A_225443302 Chr6B_52616908 Chr2B_445555026 Chr5A_306973325 Chr1A_504156267 Chr5B_587947071 Chr3A_611161111 Chr1D_376321434 Chr3D_296395200 Chr6A_612305722 Chr7D_359452226 Chr4A_173257202 Chr6D_494852864 Chr1B_117450174 Chr7B_426530700 Chr2A_507777104 Chr5D_550566618 Chr4D_511002246 Chr2D_217808917
Sim_31 Chr3B_825109309 0.0480916552985807 Chr1B_404338836 Chr2B_316904440 Chr5A_543963764 Chr2A_762691806 Chr4B_407462515 Chr7A_50160743 Chr6D_252404743 Chr1D_388568169 Chr6B_93266058 Chr3A_446102452 Chr4A_271018032 Chr7D_544581732 Chr7B_731243715 Chr6A_16073458 Chr2D_532422881 Chr3D_562573273 Chr5B_635166260 Chr1A_480250620 Chr5D_553791688 Chr4D_5041966
Sim_32 Chr6D_17117170 0.0452197217576153 Chr1A_22363227 Chr1D_126146893 Chr5B_376488913 Chr7B_733556715 Chr3D_141715664 Chr7D_48371856 Chr2A_39265468 Chr2D_468970552 Chr3B_219296455 Chr7A_254003986 Chr4B_63813054 Chr1B_386698564 Chr2B_419876407 Chr6A_196094801 Chr5D_554092580 Chr4D_35353950 Chr3A_175158532 Chr6B_672810181 Chr4A_62130465 Chr5A_57618321
Sim_33 Chr4B_407462515 0.0513369590069429 Chr6D_374116293 Chr2D_257488085 Chr1A_16003231 Chr5B_568058674 Chr7B_45845580 Chr5A_575611155 Chr1D_496964946 Chr2A_86344832 Chr3B_492845757 Chr4D_405484964 Chr3A_114167110 Chr1B_235606905 Chr3D_21995871 Chr6B_152066307 Chr4A_702455796 Chr6A_622629640 Chr2B_803474118 Chr7A_115847307 Chr5D_55063447 Chr7D_359452226
Sim_34 Chr6D_48991956 0.0514453908941551 Chr4A_97633494 Chr1B_329375227 Chr2D_189098119 Chr4B_268449870 Chr7A_594692775 Chr3B_505142540 Chr5D_101638555 Chr5A_547628379 Chr1D_156012789 Chr6A_23811272 Chr2A_275208232 Chr6B_448538491 Chr5B_630885538 Chr1A_22050876 Chr4D_380775490 Chr2B_21337984 Chr7B_426530700 Chr3D_414711965 Chr7D_27049526 Chr3A_15999991
Sim_35 Chr3D_92971074 0.0501099098968274 Chr4A_22780056 Chr4B_30106376 Chr2B_669908041 Chr3A_639896972 Chr5D_346301894 Chr7B_574359916 Chr5A_548767173 Chr1B_653243881 Chr5B_589829141 Chr6A_19480494 Chr6B_699879246 Chr2A_370935402 Chr4D_204473171 Chr7A_93836270 Chr2D_407990572 Chr6D_473120178 Chr1A_518067509 Chr1D_383259120 Chr3B_78061024 Chr7D_421476670
Sim_36 Chr5B_447500707 0.0492505586634755 Chr3A_608345580 Chr7B_613679844 Chr2D_299788591 Chr7D_356998797 Chr2A_342582477 Chr3B_414674158 Chr6D_417421915 Chr6A_610991190 Chr1D_423864806 Chr4B_25430977 Chr3D_582475042 Chr5D_101638555 Chr4A_590384914 Chr6B_474357661 Chr1B_156502927 Chr4D_242846239 Chr5A_442524021 Chr1A_484909576 Chr7A_625799155 Chr2B_783199305
Sim_37 Chr7B_751786028 0.0513847607371313 Chr2B_209302769 Chr3A_570993038 Chr1B_21240803 Chr1A_28020341 Chr6B_30765363 Chr3B_501770142 Chr7D_243229397 Chr6D_76300606 Chr5B_561845016 Chr5A_555982201 Chr2D_52344544 Chr6A_12594612 Chr7A_663731886 Chr3D_23936353 Chr1D_153030064 Chr5D_8197041 Chr4B_34944182 Chr4A_608776071 Chr4D_248484430 Chr2A_633861543
Sim_38 Chr1B_186391186 0.0467499594835763 Chr5A_235722134 Chr5D_146454767 Chr1D_493390668 Chr4B_5882925 Chr1A_454767212 Chr5B_635166260 Chr4A_680517255 Chr2A_85855980 Chr7A_684437092 Chr3D_20731676 Chr2B_762647266 Chr3B_726151835 Chr7B_700798062 Chr4D_94758034 Chr3A_7505837 Chr6D_74335539 Chr6B_489361059 Chr7D_521044309 Chr6A_91195445 Chr2D_328799455
Sim_39 Chr2D_124487859 0.0485538547591241 Chr5D_267913558 Chr7A_466841390 Chr3A_223011252 Chr4B_216225418 Chr4D_208975508 Chr6B_497137370 Chr7B_380746884 Chr7D_66460903 Chr1B_43278697 Chr6D_189771125 Chr5A_410472625 Chr2A_332725331 Chr3D_318708744 Chr2B_576099993 Chr1D_207145215 Chr6A_546943805 Chr3B_41171224 Chr1A_582528004 Chr5B_573058469 Chr4A_431960132
Sim_40 Chr3B_505735217 0.0453498610496234 Chr2D_414092150 Chr4A_543384657 Chr7D_278685512 Chr4B_313169159 Chr3D_511804544 Chr1D_466670986 Chr6A_397157229 Chr3A_656063489 Chr2A_704374644 Chr6D_374116293 Chr6B_517671804 Chr7B_566615339 Chr1A_13621280 Chr7A_40387531 Chr1B_389920205 Chr5B_20212086 Chr5D_553791688 Chr2B_803474118 Chr4D_111977976 Chr5A_689404135
Sim_41 Chr3A_75049007 0.0543057271838116 Chr2B_10369290 Chr1B_136439631 Chr1A_324462829 Chr4B_41394772 Chr7A_615327984 Chr3D_140202285 Chr5A_37155792 Chr6D_381940537 Chr1D_289390747 Chr7B_633597974 Chr4A_548613291 Chr4D_31002469 Chr3B_406456650 Chr2D_632624347 Chr6A_572446345 Chr2A_380255942 Chr6B_567027398 Chr5B_570626581 Chr5D_283375195 Chr7D_309869442
Sim_42 Chr1B_234383378 0.0534995767804883 Chr5B_637945538 Chr7B_188224141 Chr6A_43461330 Chr4A_22780056 Chr4B_34987257 Chr2A_246162327 Chr6D_2228517 Chr4D_315366694 Chr3B_536225379 Chr2B_453637724 Chr1D_420282987 Chr7D_428158425 Chr3D_342243465 Chr2D_52344544 Chr3A_154589237 Chr6B_92254743 Chr7A_139835528 Chr5A_683254854 Chr5D_194314690 Chr1A_336482208
Sim_43 Chr6B_163358236 0.0510364947001258 Chr5A_632457360 Chr1D_399662346 Chr1A_478324785 Chr2D_286380203 Chr2A_289379413 Chr3D_468042902 Chr5D_313940787 Chr5B_594529312 Chr3B_263937087 Chr6A_523656575 Chr4D_242846239 Chr7B_721862228 Chr4A_662853968 Chr7A_543355120 Chr4B_176924722 Chr3A_539854920 Chr2B_800148544 Chr7D_394509705 Chr6D_494040701 Chr1B_507630534
Sim_44 Chr5B_293232592 0.0487068976395044 Chr4B_635573203 Chr1B_195801007 Chr3A_29071809 Chr6A_52777131 Chr1D_438473613 Chr4A_742320152 Chr7B_294878580 Chr3D_516480528 Chr7D_12819399 Chr2B_795972176 Chr3B_701422469 Chr6D_34010229 Chr4D_57784932 Chr6B_651074417 Chr5D_502178293 Chr5A_472830386 Chr7A_100420647 Chr2A_251371871 Chr2D_378536750 Chr1A_59557399
Sim_45 Chr3B_5381338 0.0457331374989843 Chr2B_439322104 Chr2D_323023213 Chr7B_567155036 Chr4B_41925124 Chr4D_351916141 Chr6D_240724895 Chr2A_761877894 Chr1D_82673480 Chr7A_545262787 Chr4A_288327888 Chr5A_39628813 Chr3A_416917929 Chr5D_517283732 Chr5B_560552250 Chr3D_226182692 Chr1B_104623479 Chr1A_595791409 Chr7D_318381055 Chr6B_177573737 Chr6A_598418230
Sim_46 Chr3B_636123986 0.0481534358289809 Chr2A_22349529 Chr4A_570571097 Chr4B_405666923 Chr2B_663848381 Chr1B_387100005 Chr1D_322149976 Chr6B_84352729 Chr6D_309082572 Chr5B_696929406 Chr7B_756606218 Chr7A_374485975 Chr5A_503916902 Chr2D_303828195 Chr3A_32640632 Chr6A_91195445 Chr5D_105547503 Chr1A_46934230 Chr3D_449911933 Chr4D_61425671 Chr7D_285818790
Sim_47 Chr7D_637277387 0.0498778216252157 Chr5A_26741372 Chr4D_179852800 Chr4B_5727706 Chr2B_659268824 Chr3B_725831004 Chr5D_411102768 Chr4A_308142280 Chr1D_322149976 Chr7B_644503380 Chr6A_212802142 Chr5B_644830817 Chr7A_568474151 Chr1A_17833442 Chr3D_600245358 Chr6D_381940537 Chr6B_489961885 Chr2A_213240405 Chr2D_127249957 Chr3A_222415177 Chr1B_235334665
Sim_48 Chr5A_638765023 0.0467764359373589 Chr6A_604254656 Chr2B_800704059 Chr6B_641339594 Chr7D_606338616 Chr4B_47030345 Chr2A_348204414 Chr7B_687679110 Chr3D_452938313 Chr4D_334503563 Chr5B_693075889 Chr3A_610605872 Chr3B_131162360 Chr1B_504028031 Chr1D_438473613 Chr5D_357168778 Chr1A_29709508 Chr7A_695000503 Chr2D_299788591 Chr4A_729585526 Chr6D_167648382
Sim_49 Chr3B_245324463 0.0477269607600814 Chr7B_742863758 Chr2D_535192464 Chr6A_16075604 Chr6B_444604858 Chr4D_488170986 Chr3A_270996809 Chr5A_250458477 Chr2A_330375733 Chr7D_241857409 Chr1A_59557399 Chr5B_677473384 Chr4B_216225418 Chr1B_542962368 Chr3D_257334849 Chr5D_541462522 Chr7A_720690482 Chr1D_423864806 Chr2B_364344682 Chr6D_161284362 Chr4A_680544931
Sim_50 Chr6D_411374544 0.0537788570452003 Chr2A_699049096 Chr4B_382982059 Chr1D_322149976 Chr6A_80450557 Chr2D_128347687 Chr1B_244527681 Chr3A_589013070 Chr7A_97994442 Chr5B_580704576 Chr4A_482986864 Chr3B_29154816 Chr2B_24478929 Chr4D_334503563 Chr1A_15596122 Chr7D_232510420 Chr5A_214651315 Chr7B_713715516 Chr3D_596969240 Chr5D_423104481 Chr6B_130873850
Sim_51 Chr6A_142692920 0.0461045763376138 Chr5B_96948917 Chr1A_29871723 Chr4D_122463310 Chr5D_411763758 Chr2A_263081507 Chr4B_430018976 Chr1B_138892802 Chr7B_714774498 Chr5A_697314724 Chr2B_553000218 Chr7D_116218012 Chr4A_416116432 Chr3D_562573273 Chr3A_47418053 Chr2D_9786791 Chr6B_42303477 Chr7A_291304967 Chr6D_82123243 Chr3B_349051600 Chr1D_420282987
Sim_52 Chr3B_492845757 0.0466057580367329 Chr5D_476327867 Chr5B_586331708 Chr2A_85390473 Chr4A_736425635 Chr6B_22636749 Chr2B_167350396 Chr1B_355807104 Chr4D_291220890 Chr6A_266145754 Chr5A_483092612 Chr7A_588126984 Chr3D_20181680 Chr6D_415493738 Chr2D_90656018 Chr4B_178759578 Chr7D_13809659 Chr3A_418104752 Chr7B_732669200 Chr1A_536117243 Chr1D_207145215
Sim_53 Chr7A_281911212 0.0495759873705639 Chr3D_43579014 Chr3A_1991083 Chr1A_115610765 Chr2B_592820691 Chr5A_282947233 Chr7D_321654609 Chr1D_240752210 Chr5D_271035407 Chr2A_679943983 Chr4A_288327888 Chr7B_695977571 Chr2D_622656592 Chr6A_604254656 Chr6B_499791184 Chr3B_776229323 Chr4B_178759578 Chr6D_344076351 Chr5B_570626581 Chr1B_453854105 Chr4D_291220890
Sim_54 Chr5A_334578170 0.0488725460420759 Chr4B_350979678 Chr2D_637781602 Chr7D_321654609 Chr5D_411763758 Chr1D_471709510 Chr4A_436730214 Chr6B_567027398 Chr2A_372082641 Chr3A_111222604 Chr6A_47777325 Chr5B_34766925 Chr3B_322410534 Chr1B_422099160 Chr2B_82480173 Chr4D_263629094 Chr6D_154383719 Chr1A_29541788 Chr7B_717921218 Chr3D_589761292 Chr7A_614144349
Sim_55 Chr4A_128396379 0.0549453079055502 Chr6D_135341002 Chr4B_150743146 Chr3B_468416463 Chr5A_645794920 Chr6A_13488117 Chr1D_489917551 Chr7A_590031569 Chr2D_610878805 Chr6B_52616908 Chr7B_723242934 Chr3D_562573273 Chr4D_41204127 Chr1B_510528575 Chr3A_53458134 Chr2B_197748016 Chr5B_146143234 Chr2A_252618790 Chr5D_451722130 Chr1A_324462829 Chr7D_627151942
Sim_56 Chr5B_586152972 0.0543484775953618 Chr7A_90524090 Chr1D_281946036 Chr3B_831941368 Chr6A_2938291 Chr5A_688706366 Chr2B_312037623 Chr1A_49459928 Chr6B_231583060 Chr7B_423212853 Chr2D_323023213 Chr4B_285456056 Chr3D_200036605 Chr2A_81987331 Chr7D_441236874 Chr1B_143975023 Chr4A_219639996 Chr4D_71274841 Chr3A_611575241 Chr5D_454296786 Chr6D_486574673
Sim_57 Chr7B_167106741 0.0459567336191244 Chr2A_94394747 Chr6A_56586420 Chr3B_187259747 Chr3A_295539576 Chr2D_564987912 Chr5A_697314724 Chr5D_279189939 Chr2B_660759937 Chr5B_622868561 Chr6D_161284362 Chr7A_722691359 Chr4A_529625141 Chr7D_100909716 Chr6B_590558205 Chr4D_179852800 Chr1D_40222486 Chr3D_325479993 Chr4B_85575696 Chr1B_62682601 Chr1A_24820717
Sim_58 Chr6A_71264763 0.0532769134346491 Chr5A_472175306 Chr2D_564987912 Chr2A_606581381 Chr5D_411763758 Chr4B_381945792 Chr1B_448821511 Chr4A_330417358 Chr5B_659632977 Chr3A_723215285 Chr1A_342420261 Chr1D_454437991 Chr7A_175722453 Chr7D_372868130 Chr7B_209231938 Chr6B_213819821 Chr3B_246145803 Chr4D_370809620 Chr2B_358156682 Chr6D_416088153 Chr3D_257334849
Sim_59 Chr7A_618453923 0.0519236110255838 Chr4B_13827997 Chr4D_29706187 Chr5A_267147057 Chr6D_133590052 Chr3A_443411057 Chr2D_252011051 Chr4A_694094566 Chr7B_226376787 Chr2B_12845938 Chr1D_417749532 Chr7D_614798223 Chr2A_335760343 Chr1B_660813759 Chr5D_146454767 Chr1A_169237825 Chr6B_36288102 Chr6A_572446345 Chr3D_257334849 Chr5B_692931663 Chr3B_609356958
Sim_60 Chr7B_439941353 0.0489279286005995 Chr7D_261148674 Chr4A_633304732 Chr4D_184937359 Chr2B_350888239 Chr6A_603459326 Chr2A_119273305 Chr2D_221004646 Chr5A_505261473 Chr3B_329380656 Chr3A_9282918 Chr3D_46215778 Chr1B_490640222 Chr7A_10026378 Chr4B_415744385 Chr1A_349557635 Chr5D_550566618 Chr1D_154622218 Chr6D_86192782 Chr6B_678444929 Chr5B_48708198
