hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4
Sim_35 Chr1B_104359669 0.0458558762037743 Chr4A_476766957 Chr7D_642634879 Chr5D_462193511 Chr2B_230747306
Sim_36 Chr2D_217808917 0.0494130262878415 Chr6B_234402345 Chr7D_110286676 Chr3D_74647885 Chr3A_416917929
Sim_37 Chr2B_800527646 0.0545425631439439 Chr6D_82123243 Chr6A_22173009 Chr5A_699689498 Chr6B_564059366
Sim_38 Chr3B_252453241 0.0542703839881727 Chr6A_55608378 Chr4A_625897560 Chr1D_432504693 Chr5A_6899774
Sim_39 Chr7A_704495371 0.0464556591747972 Chr7B_731416725 Chr1B_137955359 Chr5A_67059086 Chr3D_545042911
Sim_40 Chr7A_687931112 0.051636043207475 Chr3A_517700955 Chr4B_609974414 Chr1A_467180353 Chr7D_319447934
Sim_41 Chr6D_336600418 0.0528407890747842 Chr4B_653097274 Chr1D_313735884 Chr6A_523656575 Chr2D_622411082
Sim_42 Chr1B_262842540 0.0510793230572434 Chr7B_542323122 Chr1D_471709510 Chr4D_30586729 Chr2B_399625004
Sim_43 Chr7A_677893686 0.0491535821925608 Chr5B_657757896 Chr6B_691876048 Chr4A_104617492 Chr6A_13488117
Sim_44 Chr1B_456427578 0.0461051450612055 Chr5B_464339119 Chr7D_72255250 Chr3B_51297939 Chr6B_74863300
Sim_45 Chr4B_627887856 0.0460536604975211 Chr4D_135391365 Chr5A_191098184 Chr5B_573570237 Chr1B_59129572
Sim_46 Chr1A_492948730 0.0473816039369213 Chr2B_645518729 Chr5D_71825843 Chr7A_93503965 Chr5B_317105476
Sim_47 Chr4B_297312488 0.0490681995619562 Chr6B_708721903 Chr1A_584415368 Chr7B_711010962 Chr7D_242620113
Sim_48 Chr6B_344429150 0.051473360920971 Chr2D_632624347 Chr4B_85575696 Chr2A_213240405 Chr2B_102323784
Sim_49 Chr3B_320775164 0.0549290762768194 Chr7A_119584022 Chr4A_608776071 Chr5A_262296399 Chr6B_25385118
Sim_50 Chr4A_271018032 0.0484111184495405 Chr7D_214729433 Chr4D_26946734 Chr1D_10957009 Chr1A_593872187
Sim_51 Chr3A_110901610 0.0547759004399542 Chr2D_23798471 Chr4D_291600925 Chr2B_10569613 Chr5A_110861604
Sim_52 Chr6B_156216082 0.0484664506237937 Chr6D_320429069 Chr2D_189098119 Chr4D_466450793 Chr3B_130311672
Sim_53 Chr7A_644676972 0.0528078968655563 Chr3D_26071867 Chr3B_797602477 Chr6B_177573737 Chr5A_699689498
Sim_54 Chr1B_239585366 0.0529361981619793 Chr2A_776741435 Chr7A_238788827 Chr7D_12819399 Chr6A_58595886
Sim_55 Chr1B_155428032 0.0530389882435378 Chr7A_97994442 Chr2D_452995922 Chr7B_734006863 Chr6B_296974272
Sim_56 Chr5B_556140405 0.0480381858592693 Chr6D_417421915 Chr4D_89963366 Chr7D_13809659 Chr7B_693864428
Sim_57 Chr6D_350284075 0.0526591541546864 Chr4A_650216591 Chr4B_25116390 Chr5B_630898540 Chr2D_302134460
Sim_58 Chr4D_488170986 0.0522504874745423 Chr1A_16003231 Chr5A_37155792 Chr3A_569643874 Chr1D_207145215
Sim_59 Chr1B_340960658 0.0526702090145176 Chr7D_11638969 Chr7B_647560705 Chr7A_310250281 Chr4A_620146002
Sim_60 Chr1A_505060063 0.0547840317861226 Chr6A_74714364 Chr2B_803058836 Chr3A_432254058 Chr3D_226182692
Sim_61 Chr4B_633374608 0.0514815244900474 Chr6B_144201036 Chr3A_627986513 Chr3B_46003831 Chr5B_624778145
Sim_62 Chr5B_243257429 0.0542619567558872 Chr7B_206048905 Chr1D_420932649 Chr5A_473574013 Chr1A_585193749
Sim_63 Chr5B_65561058 0.0530541122698612 Chr6B_443925965 Chr1B_59129572 Chr2D_91868084 Chr6D_464187092
Sim_64 Chr7B_612924561 0.0473126114788183 Chr1D_290426855 Chr6A_75241081 Chr1A_16384260 Chr7D_359452226
Sim_65 Chr2B_800132885 0.050595722801855 Chr2D_640556175 Chr5A_534998369 Chr3A_719292121 Chr6A_617412658
Sim_66 Chr3A_659475734 0.0538452269500304 Chr4A_53867093 Chr6B_496767196 Chr7D_309869442 Chr1A_590007841
Sim_67 Chr3B_119565546 0.0499813641521798 Chr2B_759603216 Chr1B_187658693 Chr4A_365005288 Chr3A_444309048
Sim_68 Chr7A_631974499 0.0534999457699939 Chr3A_28852797 Chr4D_75056090 Chr1B_347797796 Chr6B_477810854
Sim_69 Chr2A_341599272 0.0451071608577313 Chr1A_399724568 Chr6B_133580361 Chr1B_432323418 Chr5A_555686137
Sim_70 Chr3B_398889872 0.0476619593250306 Chr1B_122122594 Chr1D_289390747 Chr2D_291564186 Chr4B_5727706
Sim_71 Chr2B_607201180 0.0463532014858714 Chr3D_185941875 Chr5D_257210608 Chr1B_524346868 Chr5A_639304087
Sim_72 Chr6A_427075566 0.0482371041442107 Chr2B_756069444 Chr6D_341184340 Chr7B_712660488 Chr2A_273295883
Sim_73 Chr3A_452622430 0.0471032193575481 Chr1B_234656743 Chr7B_309705588 Chr5B_695282724 Chr1A_10365503
Sim_74 Chr2B_803440768 0.0467690064038346 Chr7A_6891641 Chr6A_121413134 Chr3A_86411805 Chr5B_532822105
Sim_75 Chr3A_650649269 0.0455804555052075 Chr3B_211667140 Chr3D_61581853 Chr2A_695801605 Chr7D_617953297
Sim_76 Chr1B_28331232 0.0531419053641482 Chr1D_480178189 Chr6B_703140070 Chr5A_364189857 Chr4B_25430977
Sim_77 Chr6B_78376596 0.0505647247602117 Chr7B_3661000 Chr3D_553641672 Chr5D_550559492 Chr2B_659268824
Sim_78 Chr3B_140189971 0.0476799881073994 Chr4A_625897560 Chr2B_253458218 Chr4B_70173439 Chr5B_532822105
Sim_79 Chr5B_704486143 0.0486365670972646 Chr4B_30106376 Chr1A_392825517 Chr6B_567027398 Chr6A_604683148
Sim_80 Chr2A_299301229 0.0453224027063545 Chr5D_175783435 Chr7A_505567085 Chr3B_709024994 Chr7B_733948073
Sim_81 Chr3B_745364311 0.0459581635247952 Chr4B_26891156 Chr1A_561727878 Chr6B_101541778 Chr4A_222877939
Sim_82 Chr4D_407863386 0.0489655168085741 Chr4B_549070213 Chr7B_613679844 Chr2A_270268033 Chr4A_335923159
Sim_83 Chr5D_382648577 0.0543167425427389 Chr3D_227774035 Chr5A_177238799 Chr5B_587972553 Chr4A_625650434
Sim_84 Chr6B_173854261 0.0525872941211097 Chr2A_704898546 Chr4D_30428033 Chr5D_431161578 Chr4B_14608535
Sim_85 Chr5A_562640097 0.0460955805969643 Chr6A_470699784 Chr4B_5727706 Chr4D_29201896 Chr7B_465801337
Sim_86 Chr5D_518872293 0.0497132522157271 Chr3D_596969240 Chr1A_25107762 Chr5A_7361118 Chr6A_95749253
Sim_87 Chr2A_274769438 0.0491858410695411 Chr1A_512053481 Chr6D_91835326 Chr3D_408400216 Chr6A_622629640
Sim_88 Chr1D_237195023 0.04821992268372 Chr4B_312663668 Chr6A_583467909 Chr7D_348001673 Chr2D_311130707
Sim_89 Chr2B_10569613 0.0452629093213683 Chr7B_688751113 Chr5B_27642478 Chr7D_604544018 Chr6D_494040701
Sim_90 Chr7B_423212853 0.0479768543221825 Chr4D_219155322 Chr5B_457938861 Chr2B_111234823 Chr3A_444309048
Sim_91 Chr7B_371263689 0.0542518163799318 Chr3B_501802211 Chr3D_98785934 Chr4D_236678651 Chr6D_154383719
Sim_92 Chr1B_451723439 0.0540790836597727 Chr7D_630453036 Chr3D_414711965 Chr4B_285456056 Chr1A_164676834
Sim_93 Chr7A_355745430 0.0506320281166612 Chr6D_473120178 Chr1D_450121910 Chr3D_86161430 Chr7D_375314393
Sim_94 Chr2A_348204414 0.054855273179174 Chr5B_594426075 Chr4D_113784377 Chr7A_37137265 Chr4A_662853968
Sim_95 Chr2B_82480173 0.0544588499229966 Chr3B_176159856 Chr2D_378536750 Chr7B_218934429 Chr6D_93279747
Sim_96 Chr3B_277817590 0.0467177655547628 Chr1B_381216838 Chr4B_25430977 Chr7A_177939997 Chr1A_16384260
Sim_97 Chr2A_275064942 0.0541156496764491 Chr4B_5727706 Chr7D_100909716 Chr1D_322149976 Chr5B_669718708
Sim_98 Chr1B_59572520 0.0549333198622707 Chr4B_599696257 Chr2D_148315915 Chr5A_148640985 Chr1A_377224643
Sim_99 Chr2A_63767763 0.0543198420463549 Chr1B_558285099 Chr4B_34987257 Chr5D_8197041 Chr6A_115875252
Sim_100 Chr2D_303828195 0.0469521091341478 Chr6D_34729339 Chr7B_738882461 Chr1A_587734137 Chr2A_376506920
