hQTL Vg_hQTL epQTL_1 epQTL_2 epQTL_3 epQTL_4 epQTL_5 epQTL_6 epQTL_7 epQTL_8 epQTL_9 epQTL_10 epQTL_11 epQTL_12 epQTL_13 epQTL_14 epQTL_15 epQTL_16 epQTL_17 epQTL_18 epQTL_19
Sim_25 Chr6B_210414957 0.0532137202209784 Chr2A_316951386 Chr7A_96521936 Chr7B_722637396 Chr5A_95598587 Chr1A_484055170 Chr5B_415368462 Chr2D_378536750 Chr5D_257210608 Chr1D_354554801 Chr6D_210068304 Chr1B_144494452 Chr7D_232510420 Chr2B_40985392 Chr6A_548379105 Chr3D_70723190 Chr3A_700462910 Chr4D_41766564 Chr3B_91062677 Chr4A_640953805
Sim_26 Chr3B_427183411 0.0511543474086579 Chr1A_15583279 Chr4B_13827997 Chr2A_187719027 Chr3A_611161111 Chr7A_82989429 Chr5B_332325984 Chr2B_592820691 Chr3D_481088538 Chr1B_141376512 Chr4A_737178995 Chr2D_452995922 Chr7B_432316544 Chr1D_167422788 Chr4D_352880350 Chr5A_1465597 Chr6B_144283236 Chr5D_382648577 Chr6D_93279747 Chr7D_55789392
Sim_27 Chr5A_13644774 0.0474767510170345 Chr2A_758573504 Chr3B_130311672 Chr3A_592887834 Chr2D_116987332 Chr4A_258212389 Chr7D_611231823 Chr7A_662100380 Chr1B_295298549 Chr1A_12132059 Chr4D_29706187 Chr7B_301579095 Chr3D_520995293 Chr6B_219909633 Chr6D_151411192 Chr1D_231113067 Chr2B_545442778 Chr6A_103924908 Chr4B_219045596 Chr5B_667372522
Sim_28 Chr1B_193190741 0.0493593957346645 Chr5D_553791688 Chr4A_104617492 Chr2B_663518942 Chr3D_553043409 Chr1A_322619539 Chr1D_200393007 Chr3A_28852797 Chr2D_257488085 Chr7D_261148674 Chr3B_341275050 Chr6B_141190925 Chr5B_602684202 Chr2A_241886927 Chr6A_56696338 Chr5A_417807406 Chr7B_286428228 Chr4B_303136683 Chr6D_303993356 Chr4D_688362
Sim_29 Chr7D_278685512 0.052557430991444 Chr1A_593872187 Chr7B_188148920 Chr2A_379611102 Chr3A_75049007 Chr4B_216225418 Chr6A_31783339 Chr4A_442419347 Chr4D_440436245 Chr2D_143326167 Chr5A_210949973 Chr7A_88453188 Chr1D_420932649 Chr5D_29261233 Chr5B_343579469 Chr3B_706115440 Chr3D_419738959 Chr6B_415638259 Chr6D_417421915 Chr1B_47746035
Sim_30 Chr6B_638446774 0.0475903322654207 Chr6D_82123243 Chr3D_520995293 Chr1A_505060063 Chr5B_672776654 Chr7A_700627389 Chr4B_13827997 Chr5A_112510536 Chr1D_167422788 Chr2A_779016769 Chr7D_155017235 Chr6A_604683148 Chr3B_488196042 Chr2D_90656018 Chr5D_10696069 Chr2B_451767282 Chr1B_137955359 Chr4A_664143932 Chr4D_370809620 Chr3A_309678182
Sim_31 Chr2D_462736949 0.0532354373201667 Chr5A_546627527 Chr2A_271980992 Chr4D_470070965 Chr2B_234239547 Chr3D_173537835 Chr4A_270355887 Chr1B_310259400 Chr6A_547757660 Chr7B_186986239 Chr3A_381786933 Chr6D_484108626 Chr1D_354081195 Chr6B_14685579 Chr5D_454296786 Chr1A_14208105 Chr7A_197037803 Chr5B_626126276 Chr4B_607110201 Chr3B_772696466
Sim_32 Chr2D_270547333 0.0543480188632398 Chr2A_357876360 Chr5B_171287435 Chr1A_476367900 Chr3A_223937348 Chr1B_59572520 Chr2B_226495533 Chr4B_257710985 Chr4D_237762397 Chr6D_60955304 Chr7B_353167347 Chr4A_442419347 Chr5D_55063447 Chr7D_626805861 Chr7A_258034885 Chr3B_605211163 Chr6B_163360985 Chr5A_37155792 Chr6A_550530898 Chr1D_26835355
Sim_33 Chr6B_405509616 0.0498481019791546 Chr4D_26946734 Chr3B_646793321 Chr2A_735125281 Chr2D_462736949 Chr7A_19952701 Chr2B_796963259 Chr5B_184493948 Chr4B_617186722 Chr1A_42995850 Chr7D_627151942 Chr6D_484914394 Chr6A_463219398 Chr3D_21485625 Chr4A_620146002 Chr1D_313735884 Chr3A_10333235 Chr7B_105663046 Chr1B_195801007 Chr5A_665894805
Sim_34 Chr2D_543230299 0.0463236715321779 Chr5D_357168778 Chr1A_476367900 Chr6D_389356090 Chr4B_231560329 Chr5B_587947071 Chr7A_673112330 Chr6A_3947402 Chr2A_596061234 Chr2B_614413710 Chr4A_128396379 Chr7B_631028577 Chr6B_683996838 Chr4D_236678651 Chr1B_250897716 Chr3D_368576794 Chr3B_89013878 Chr3A_1991083 Chr1D_154041221 Chr7D_561781558
Sim_35 Chr1B_250897716 0.045218367659904 Chr6B_6388147 Chr1A_13621280 Chr2B_118907584 Chr4A_657712818 Chr2D_17779590 Chr3D_516480528 Chr7B_226376787 Chr2A_357832083 Chr1D_461363977 Chr7D_629734117 Chr5B_630898540 Chr6D_60955304 Chr5A_450333756 Chr3A_442646389 Chr5D_76619266 Chr4B_157050235 Chr3B_343303817 Chr6A_114652756 Chr7A_726282622
Sim_36 Chr3D_554178144 0.0494785648757295 Chr2B_660759937 Chr3A_734751125 Chr2A_76200324 Chr1D_153030064 Chr5A_74814851 Chr2D_511534375 Chr5D_462193511 Chr5B_44201362 Chr6D_164795040 Chr1A_22257886 Chr6B_445749353 Chr3B_20167853 Chr1B_639793766 Chr7A_502868188 Chr4B_609601625 Chr7B_733600127 Chr4A_579943826 Chr7D_445693069 Chr6A_598478262
Sim_37 Chr1A_487183961 0.0490118829039646 Chr6A_264191839 Chr3A_645633142 Chr4B_82876339 Chr5D_543406748 Chr5B_666023481 Chr1D_383259120 Chr6D_240724895 Chr4A_732199650 Chr7D_42020701 Chr1B_486179108 Chr2B_361430207 Chr4D_688362 Chr7B_423212853 Chr7A_27390960 Chr3D_71872504 Chr6B_55731445 Chr3B_419481596 Chr5A_537122489 Chr2A_273545092
Sim_38 Chr5A_665408216 0.0519090380206472 Chr4A_608140654 Chr1B_185645347 Chr3B_800509179 Chr2A_704898546 Chr6A_426555675 Chr7B_721948434 Chr3D_456701724 Chr7A_695102069 Chr2B_147992950 Chr2D_116987332 Chr3A_15999991 Chr1A_14208105 Chr1D_431385533 Chr4D_505957703 Chr5D_218441792 Chr5B_171287435 Chr6D_82123243 Chr7D_605724724 Chr6B_719158106
Sim_39 Chr4D_407834863 0.0452802916839305 Chr6A_620816456 Chr6B_444604858 Chr2D_467171212 Chr4A_725358644 Chr4B_436684820 Chr5B_658622493 Chr5A_683672290 Chr7B_243095965 Chr2B_660182967 Chr7A_621014285 Chr6D_341184340 Chr1D_154622218 Chr3A_688382962 Chr7D_372868130 Chr3B_600925285 Chr5D_552403245 Chr1B_59572520 Chr3D_387474036 Chr2A_298263369
Sim_40 Chr1B_640599049 0.0473447074626437 Chr1A_14650498 Chr7A_664154923 Chr2D_260335225 Chr3D_552073767 Chr3A_698238408 Chr4A_24026694 Chr5A_543963764 Chr6A_521206416 Chr7B_172442850 Chr7D_627151942 Chr5B_684837728 Chr3B_322410534 Chr1D_269278977 Chr5D_319067284 Chr6B_498558737 Chr2A_580187652 Chr6D_189771125 Chr2B_756136699 Chr4D_298638838
Sim_41 Chr1A_594069787 0.0549522814391587 Chr4A_9648314 Chr2B_725024134 Chr1D_153030064 Chr4B_93008004 Chr6B_87754789 Chr3B_810713637 Chr5B_369108906 Chr6D_241959069 Chr3D_192741368 Chr5A_679700933 Chr2A_63767763 Chr4D_440436245 Chr7B_67942777 Chr5D_448706062 Chr6A_364680410 Chr7A_248605599 Chr7D_48371856 Chr3A_121604141 Chr1B_583078973
Sim_42 Chr5D_319067284 0.0522626294654145 Chr7B_649346931 Chr4B_176924722 Chr1D_423140854 Chr5A_111508814 Chr2A_735125281 Chr3A_698238408 Chr2D_13658640 Chr1B_479966656 Chr5B_477649577 Chr7A_393231982 Chr4D_26946734 Chr7D_451953164 Chr3B_132941589 Chr6A_553098716 Chr4A_130095360 Chr3D_251895462 Chr1A_594069787 Chr6B_507934267 Chr2B_193759542
Sim_43 Chr7B_723175254 0.0457243090304165 Chr3B_119565546 Chr5B_587947071 Chr3A_26621909 Chr7A_690738107 Chr2D_432084888 Chr5A_1780746 Chr4A_531625756 Chr6D_320429069 Chr2B_532800154 Chr2A_750854161 Chr4D_27075820 Chr6B_33795346 Chr1A_426176901 Chr4B_573327470 Chr1B_639772208 Chr7D_12819399 Chr1D_354081195 Chr5D_99920377 Chr3D_582475042
Sim_44 Chr5A_495883609 0.0517784757118878 Chr7A_172303589 Chr7D_626805861 Chr6A_613928283 Chr6B_234402345 Chr1D_316017089 Chr2D_355804231 Chr4A_197209342 Chr1A_303193393 Chr3A_263366712 Chr2B_638432049 Chr3B_710237478 Chr5B_313148805 Chr2A_509345118 Chr4D_263629094 Chr7B_687679110 Chr3D_20181680 Chr1B_540290620 Chr6D_218252158 Chr4B_428275493
Sim_45 Chr1B_319858521 0.0480928486649992 Chr5A_473574013 Chr1D_466568419 Chr6A_426555675 Chr5B_315464256 Chr4D_474049720 Chr3B_660435558 Chr3D_78233362 Chr1A_16706761 Chr7D_356998797 Chr5D_112366538 Chr4A_666676932 Chr7A_197037803 Chr7B_200436180 Chr2A_280318596 Chr3A_29071809 Chr6B_106461009 Chr6D_309082572 Chr4B_586503726 Chr2B_345153468
Sim_46 Chr4B_577657957 0.0526435089982672 Chr7B_732669200 Chr6A_617412658 Chr5A_261780023 Chr3A_311182604 Chr2B_445555026 Chr4A_476766957 Chr5B_561845016 Chr2A_372082641 Chr1B_138892802 Chr5D_554092580 Chr3D_42958298 Chr6B_361609028 Chr1D_322149976 Chr1A_336482208 Chr4D_380775490 Chr6D_476484169 Chr3B_645101997 Chr2D_221004646 Chr7D_633839296
Sim_47 Chr6B_345047890 0.0504517100922772 Chr1D_181392811 Chr5A_689404135 Chr6D_350284075 Chr7A_166692929 Chr1A_50028197 Chr7B_167106741 Chr2A_342732737 Chr4B_93008004 Chr3A_1991083 Chr6A_101277324 Chr5B_594426075 Chr4A_442419347 Chr7D_356998797 Chr2B_345153468 Chr1B_557022304 Chr3D_263278843 Chr4D_380775490 Chr5D_90307644 Chr3B_709024994
Sim_48 Chr1B_409239943 0.0492101704694389 Chr4B_47890604 Chr2B_10432728 Chr3A_444309048 Chr4A_633400910 Chr2A_719292194 Chr2D_378536750 Chr4D_322918457 Chr5D_547033153 Chr1D_466568419 Chr3B_730235514 Chr6D_473120178 Chr7D_624528650 Chr3D_504658214 Chr5A_450333756 Chr6A_553098716 Chr5B_243196426 Chr1A_221553726 Chr7B_741627487 Chr7A_632582879
Sim_49 Chr1B_535872015 0.050473388436146 Chr7D_629734117 Chr1A_549436131 Chr5A_705152262 Chr2D_367583175 Chr4A_719720243 Chr4D_61425671 Chr4B_313169159 Chr2B_510800155 Chr6B_498800339 Chr7A_673729785 Chr7B_107566612 Chr3A_727222858 Chr5B_54049454 Chr5D_525664637 Chr6D_350284075 Chr6A_548644895 Chr3B_45910819 Chr1D_121489094 Chr2A_164189905
Sim_50 Chr1B_297541382 0.0543307532812096 Chr7A_613054287 Chr5B_329051680 Chr3B_708241885 Chr5D_28586234 Chr5A_20064845 Chr2D_543230299 Chr6A_622629640 Chr3A_704958444 Chr4D_457321714 Chr7B_689052610 Chr1A_454767212 Chr7D_542963778 Chr6D_123960663 Chr3D_516480528 Chr2A_567925902 Chr4B_594678704 Chr2B_196180229 Chr4A_703488916 Chr6B_36551794
Sim_51 Chr1A_7880482 0.0455812926274171 Chr6B_497137370 Chr1B_450060715 Chr5D_540617469 Chr2D_519748508 Chr1D_281946036 Chr4B_96150749 Chr5B_489632302 Chr2B_262501426 Chr3B_491368949 Chr4A_326612444 Chr7D_460902678 Chr7A_595195273 Chr7B_963802 Chr3A_323930743 Chr6D_217138652 Chr4D_378568089 Chr2A_226975201 Chr3D_468042902 Chr5A_26075249
Sim_52 Chr2A_204387962 0.0490127052172255 Chr4D_1277061 Chr2D_65092023 Chr6A_47777325 Chr7B_721257721 Chr5D_218441792 Chr4A_531625756 Chr6B_632980931 Chr1D_379020263 Chr1A_246628834 Chr4B_257710985 Chr7D_624658003 Chr2B_757364750 Chr5A_1780746 Chr5B_210705649 Chr1B_635210873 Chr6D_74335539 Chr7A_159986610 Chr3B_40454345 Chr3D_200036605
Sim_53 Chr7D_242620113 0.0488156115812556 Chr4D_185489084 Chr6B_567027398 Chr3B_209943387 Chr6D_244841211 Chr1B_458693144 Chr2A_232419358 Chr5A_300968826 Chr5D_136248728 Chr3A_746564480 Chr5B_692885856 Chr1D_382576938 Chr4A_271018032 Chr4B_530061251 Chr1A_538501502 Chr3D_600231270 Chr2D_440523665 Chr2B_774182082 Chr7A_374485975 Chr7B_492769565
Sim_54 Chr4B_532596843 0.046793405422472 Chr2D_260335225 Chr4A_617821249 Chr5D_550674811 Chr2A_378246289 Chr6B_32586541 Chr3B_708822264 Chr7B_689113883 Chr1B_388399896 Chr1A_14208105 Chr4D_407863386 Chr6D_308551703 Chr5B_18686550 Chr7D_561781558 Chr5A_364189857 Chr3D_78233362 Chr3A_581581123 Chr7A_440526407 Chr1D_496161107 Chr6A_95749253
Sim_55 Chr3B_612522100 0.0509321243317478 Chr1B_296550787 Chr4D_61425671 Chr2A_352765295 Chr2D_52344544 Chr7A_187205666 Chr4B_584002219 Chr5B_670922749 Chr5D_279189939 Chr6B_492808387 Chr2B_370822228 Chr6D_24660033 Chr7B_3661000 Chr1A_29999809 Chr5A_13644774 Chr3A_405595820 Chr7D_15124858 Chr1D_126146893 Chr4A_616375729 Chr6A_559598879
Sim_56 Chr7A_723616487 0.0481023894362576 Chr6D_29155456 Chr7D_637277387 Chr4B_350979678 Chr7B_57734316 Chr3B_209943387 Chr2A_695801605 Chr6A_17582658 Chr2B_118907584 Chr3D_74647885 Chr5B_276790699 Chr1D_49435925 Chr1B_394918251 Chr1A_361925129 Chr5D_105547503 Chr4D_367699031 Chr3A_752299864 Chr6B_155815879 Chr2D_502350271 Chr5A_423247589
Sim_57 Chr2B_795259273 0.0508520694488839 Chr2A_241065128 Chr4A_442419347 Chr6D_154383719 Chr1A_426176901 Chr6A_115875252 Chr3A_432254058 Chr2D_302134460 Chr3D_251895462 Chr3B_591980262 Chr5B_218939387 Chr1D_291654182 Chr5A_2587305 Chr5D_540617469 Chr4D_405484964 Chr1B_647469198 Chr7A_339312533 Chr7B_695977571 Chr6B_531071470 Chr4B_559497322
Sim_58 Chr7A_310250281 0.0459164941434256 Chr1B_341987278 Chr5D_13225932 Chr1A_63014933 Chr2A_256152062 Chr4D_441480777 Chr6D_17117170 Chr6B_636349897 Chr2D_622656592 Chr6A_622629640 Chr5A_282947233 Chr4B_609678854 Chr4A_732199650 Chr3B_732167018 Chr2B_508464345 Chr5B_289039760 Chr3D_20181680 Chr7B_699449335 Chr1D_120874487 Chr7D_388826790
Sim_59 Chr1B_365579065 0.0451264894242875 Chr2B_691086664 Chr7D_348001673 Chr2D_52344544 Chr4A_718006118 Chr3A_28852797 Chr1A_485207427 Chr5B_587947071 Chr3D_168936688 Chr6B_448616497 Chr6A_522776941 Chr3B_18774437 Chr5D_287341972 Chr7B_209231938 Chr2A_340414064 Chr4D_466450793 Chr6D_232250761 Chr5A_253213588 Chr1D_450121910 Chr4B_85575696
Sim_60 Chr5A_267147057 0.0520353768534755 Chr2D_414092150 Chr7B_762711812 Chr1A_79047608 Chr2B_12845938 Chr3A_733671372 Chr5D_10696069 Chr3B_675206193 Chr4A_640953805 Chr7A_567104390 Chr5B_650810445 Chr4B_581258909 Chr2A_308148970 Chr4D_41204127 Chr7D_544581732 Chr6A_53753085 Chr1D_207145215 Chr6D_473120178 Chr3D_508080233 Chr6B_253941483
Sim_61 Chr4D_204293501 0.0511521323042438 Chr7B_740336865 Chr7A_611155663 Chr2D_124487859 Chr7D_578409291 Chr3B_95942114 Chr5B_533060006 Chr5A_479096079 Chr2A_376009595 Chr4A_666353036 Chr5D_99025594 Chr6D_154383719 Chr6B_202987468 Chr6A_83186502 Chr2B_10670234 Chr1B_556628672 Chr1D_420161180 Chr4B_157050235 Chr3A_241559525 Chr1A_322619539
Sim_62 Chr6B_296974272 0.0540494687082859 Chr5B_315464256 Chr1A_426176901 Chr5D_37155848 Chr1D_488470793 Chr7D_395396747 Chr5A_583742271 Chr1B_438221273 Chr7A_676319212 Chr2B_576099993 Chr3A_10333235 Chr7B_315404137 Chr3D_93670405 Chr6D_279888830 Chr2D_107413973 Chr4B_595470883 Chr6A_240145748 Chr4D_185489084 Chr3B_601680194 Chr2A_712771573
Sim_63 Chr3B_488792861 0.0540286316130026 Chr7B_551113639 Chr7A_27255024 Chr5D_568529738 Chr5A_535130839 Chr1A_480250620 Chr7D_185927008 Chr3A_741504631 Chr1B_103170991 Chr4B_61922668 Chr6A_610991190 Chr4D_298638838 Chr2A_583441256 Chr3D_37916482 Chr4A_661144288 Chr6D_320429069 Chr2D_299788591 Chr1D_156012789 Chr2B_758159891 Chr5B_245316610
